"pr_number","pr_status_check","pr_user_type","pr_user_contr","pr_comment_count","pr_time_duration","pr_is_merged"
"11680","3","6","0","2","10670.0","0"
"11674","1","4","1","4","96438.0","1"
"11659","1","4","1","2","142940.0","1"
"11654","1","4","3","1","229601.0","1"
"11653","1","4","3","1","234783.0","1"
"11648","1","4","2","1","309109.0","1"
"11647","1","4","0","1","310890.0","1"
"11643","1","4","3","3","391332.0","1"
"11631","3","6","0","1","195.0","0"
"11626","1","4","1","2","6094.0","1"
"11624","1","4","0","10","125324.0","1"
"11622","1","4","0","2","34391.0","1"
"11621","1","4","1","9","11072.0","1"
"11620","1","4","1","6","66365.0","1"
"11619","3","4","0","0","13.0","0"
"11618","1","4","1","2","23754.0","1"
"11614","1","4","0","2","210160.0","1"
"11612","3","4","0","1","212159.0","1"
"11608","1","6","0","4","2470.0","0"
"11606","1","4","1","2","306240.0","1"
"11601","1","4","1","3","26536.0","1"
"11592","1","4","1","2","170818.0","1"
"11584","3","2","0","1","874.0","1"
"11582","3","4","2","4","449722.0","1"
"11581","1","4","8","1","2297.0","1"
"11580","1","2","0","1","792.0","1"
"11578","1","4","8","3","36390.0","1"
"11573","1","4","1","2","4063.0","1"
"11559","1","4","2","3","41973.0","1"
"11557","1","4","1","2","6406.0","1"
"11553","1","4","3","3","254044.0","1"
"11552","3","6","0","2","128466.0","0"
"11551","3","6","0","1","1176756.0","0"
"11549","1","4","1","4","43986.0","1"
"11538","1","4","10","8","604421.0","1"
"11537","1","4","1","9","626311.0","1"
"11536","1","6","0","5","732842.0","0"
"11529","3","6","0","9","75343.0","0"
"11528","3","2","0","1","8.0","1"
"11526","3","4","10","21","849107.0","1"
"11520","1","4","1","3","117192.0","1"
"11519","1","2","0","2","17986.0","1"
"11516","1","4","1","2","31870.0","1"
"11515","1","4","1","2","68601.0","1"
"11513","1","4","2","2","118202.0","1"
"11512","1","4","1","3","373308.0","1"
"11508","1","4","1","4","35367.0","1"
"11506","1","4","1","0","397.0","0"
"11501","1","6","0","2","582389.0","0"
"11500","1","4","3","2","139732.0","1"
"11499","1","4","2","10","1243688.0","1"
"11495","1","6","0","2","220615.0","0"
"11493","1","4","1","3","295094.0","1"
"11492","1","4","1","3","80793.0","1"
"11487","3","2","0","2","2472.0","1"
"11486","1","4","2","2","39645.0","1"
"11484","1","4","5","2","61072.0","1"
"11480","1","4","1","2","44797.0","1"
"11476","1","4","1","7","1333558.0","1"
"11475","1","4","1","2","1887.0","0"
"11464","1","4","1","2","462197.0","1"
"11456","1","4","5","12","1027988.0","1"
"11454","1","4","1","2","673708.0","1"
"11444","3","4","2","1","154666.0","1"
"11439","1","4","1","6","235610.0","1"
"11437","3","4","1","0","25.0","0"
"11434","1","4","1","9","312572.0","1"
"11433","1","4","1","1","275.0","0"
"11429","2","6","0","3","3904.0","0"
"11419","1","4","2","5","2100826.0","1"
"11418","3","4","2","1","1245.0","0"
"11416","1","4","1","2","744885.0","1"
"11406","1","4","1","10","1562535.0","1"
"11405","3","2","0","5","993865.0","1"
"11404","1","2","0","2","1368.0","1"
"11402","1","4","2","3","18856.0","1"
"11399","1","2","0","2","3658.0","1"
"11390","1","4","1","5","141782.0","1"
"11385","1","6","0","6","1261592.0","0"
"11379","1","4","1","4","3179.0","1"
"11373","3","4","1","2","54741.0","1"
"11368","1","4","1","4","119448.0","1"
"11361","1","4","19","4","130787.0","1"
"11360","1","4","1","3","57002.0","1"
"11359","3","4","1","7","169651.0","1"
"11354","1","4","2","14","5484385.0","1"
"11348","3","6","0","27","1186757.0","0"
"11343","3","4","1","2","64350.0","1"
"11341","1","4","1","2","34024.0","1"
"11337","3","4","3","9","78859.0","1"
"11334","3","2","0","3","269783.0","1"
"11332","1","2","0","2","492.0","1"
"11329","1","2","0","2","1396.0","1"
"11327","1","4","2","5","287607.0","1"
"11323","1","6","0","8","1101598.0","0"
"11321","1","4","1","2","522468.0","0"
"11311","1","4","3","4","213007.0","1"
"11307","3","4","7","10","196635.0","1"
"11300","3","4","1","8","223820.0","1"
"11299","1","4","1","2","64952.0","1"
